날짜/시간,종목명,티커,거래유형,가격,수량,금액,매수단가,수액률(%),잔여KRW
2025-04-29 08:43:22,알파쿼크,KRW-AQT,매수,51264.54753445,,51264.54753445955,,,51754.13685586
2025-04-29 08:49:25,알파쿼크,KRW-AQT,매도,0,28.81649664,,51264.54753445,-5126454.75%,102877.84375109
2025-04-29 12:39:13,오브스,KRW-ORBS,매수,51181.72726616,,51181.727266167276,,,51670.52562152
2025-04-29 12:45:25,오브스,KRW-ORBS,매도,0,1640.96592709,,51181.72726616,-5118172.73%,51670.52562152
2025-04-30 19:19:20,드리프트,KRW-DRIFT,매도,0,9.93974854,,1050.0,-105000.00%,102816.69481786
2025-05-01 06:31:39,타이코,KRW-TAIKO,매수,51151.30567188,,51151.30567188535,,,51639.81349315
2025-05-01 06:37:23,타이코,KRW-TAIKO,매도,0,50.10411428,,51151.30567188,-5115130.57%,102470.06165631
2025-05-01 09:07:06,매직에덴,KRW-ME,매수,50978.85567401,,50978.85567401423,,,51465.71655639
2025-05-01 09:12:54,매직에덴,KRW-ME,매도,0,34.35232862,,50978.85567401,-5097885.57%,102968.44523992
2025-05-01 21:53:36,소닉SVM,KRW-SONIC,매도,0,21.34978229,,482.3,-48230.00%,102542.03564565
